GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine Coolant Temperature(°C),Barometric pressure (from vehicle)(psi),Engine RPM(rpm),Kilometers Per Litre(Instant)(kpl),Engine Load(Absolute)(%),Run time since engine start(s),Turbo Boost & Vacuum Gauge(psi)
Sat Aug 10 12:31:39 GMT+05:30 2019,10-Aug-2019 12:31:39.237,73.07098015207376,19.055734136741382,9.045947,19.0,-61.863860089331865,0.0,2.64319873,8.31266785,4.63517427,0.03231129,-,14.64881134,1640,0,18.8235302,597,-8.84730148
Sat Aug 10 12:31:39 GMT+05:30 2019,10-Aug-2019 12:31:39.492,73.07098015207376,19.055734136741382,9.045947,19.0,-61.863860089331865,0.0,1.03429508,7.85298157,6.35899973,0.01295984,-,14.64881134,1640,0,18.8235302,597,-8.84730148
Sat Aug 10 12:31:39 GMT+05:30 2019,10-Aug-2019 12:31:39.738,73.07098015207376,19.055734136741382,9.045947,19.0,-61.863860089331865,0.0,2.18351197,7.96790314,4.40533113,0.01960341,-,14.64881134,1640,0,18.8235302,597,-8.84730148
Sat Aug 10 12:31:41 GMT+05:30 2019,10-Aug-2019 12:31:39.983,73.07096362210818,19.055660412095932,8.235309,19.0,-55.88733276259154,0.0,1.41736746,8.35097599,5.55454779,0.00791209,-,14.64881134,1640,0,18.8235302,597,-8.84730148
Sat Aug 10 12:31:41 GMT+05:30 2019,10-Aug-2019 12:31:40.173,73.07096362210818,19.055660412095932,8.235309,19.0,-55.88733276259154,0.0,1.07260239,7.58483076,4.78840351,0.01033733,79,14.64881134,1640,0,18.8235302,597,-8.84730148
Sat Aug 10 12:31:41 GMT+05:30 2019,10-Aug-2019 12:31:40.960,73.07096362210818,19.055660412095932,8.235309,19.0,-55.88733276259154,0.0,3.29442143,7.08683681,3.10288548,-0.02048201,79,10.5877552,1528.25,90.26999664,27.05882263,339,-8.84730148
Sat Aug 10 12:31:42 GMT+05:30 2019,10-Aug-2019 12:31:41.546,73.07092660088573,19.055562255498337,7.7270412,19.0,-56.329461608082056,0.0,2.56658411,8.50420475,3.14119267,0.00664393,79,10.5877552,1601,7.54710293,37.64706039,340,-3.04579258
Sat Aug 10 12:31:43 GMT+05:30 2019,10-Aug-2019 12:31:42.335,73.07097150847433,19.055496537461732,7.718077,15.839702,-62.17870332673192,184.01328,0.76614451,7.96790314,5.09486103,0.03145563,79,10.5877552,1576,5.70581579,39.60784149,340,-0.72518921
Sat Aug 10 12:31:43 GMT+05:30 2019,10-Aug-2019 12:31:42.771,73.07097150847433,19.055496537461732,7.718077,15.839702,-62.17870332673192,184.01328,1.83874691,7.69975281,3.63918662,0.02041114,79,10.5877552,1653.75,5.39931822,42.74509811,341,0
Sat Aug 10 12:31:43 GMT+05:30 2019,10-Aug-2019 12:31:43.121,73.07097150847433,19.055496537461732,7.718077,15.839702,-62.17870332673192,184.01328,1.72382522,8.08282471,3.25611424,0.02973125,79,10.5877552,1687.25,5.32290268,42.74509811,341,0
Sat Aug 10 12:31:44 GMT+05:30 2019,10-Aug-2019 12:31:43.455,73.07097412049924,19.055430807104408,8.174857,11.251897,-61.83746250253171,183.3366,-1.14921677,10.0364933,6.4739213,0.04868126,79,10.5877552,1705,5.39112473,42.74509811,342,0
Sat Aug 10 12:31:44 GMT+05:30 2019,10-Aug-2019 12:31:43.933,73.07097412049924,19.055430807104408,8.174857,11.251897,-61.83746250253171,183.3366,0.42137951,8.65743351,4.13718033,0.01393529,79,10.5877552,1721.75,5.40909767,42.74509811,342,-0.14503765
Sat Aug 10 12:31:45 GMT+05:30 2019,10-Aug-2019 12:31:44.344,73.07098018745643,19.055356919127007,8.797004,8.258711,-61.29312685225159,183.01747,-0.03830723,8.77235508,5.20978308,0.05904263,79,10.5877552,1784.75,5.37982512,42.74509811,342,0.14503765
Sat Aug 10 12:31:45 GMT+05:30 2019,10-Aug-2019 12:31:44.686,73.07098018745643,19.055356919127007,8.797004,8.258711,-61.29312685225159,183.01747,1.57059634,8.61912632,3.79241538,-0.0078451,79,10.5877552,1762.75,5.35210752,42.74509811,343,0.14503765
Sat Aug 10 12:31:45 GMT+05:30 2019,10-Aug-2019 12:31:45.040,73.07098018745643,19.055356919127007,8.797004,8.258711,-61.29312685225159,183.01747,0.57460839,7.58483076,5.17147589,-0.04338098,79,10.5877552,1813.5,5.56942987,43.13725662,343,-0.14503765
Sat Aug 10 12:31:46 GMT+05:30 2019,10-Aug-2019 12:31:45.522,73.070978106171,19.055276861472084,9.132087,7.4944577,-61.058981322683394,183.89868,-0.72783732,8.46589756,4.5202527,0.02960562,79,10.5877552,1857,5.50121355,43.13725662,344,0
Sat Aug 10 12:31:46 GMT+05:30 2019,10-Aug-2019 12:31:45.929,73.070978106171,19.055276861472084,9.132087,7.4944577,-61.058981322683394,183.89868,0.03830723,8.50420475,4.25210238,-0.001249,79,10.5877552,1886.5,5.37234831,43.13725662,344,0
Sat Aug 10 12:31:46 GMT+05:30 2019,10-Aug-2019 12:31:46.288,73.070978106171,19.055276861472084,9.132087,7.4944577,-61.058981322683394,183.89868,-1.80043972,8.65743351,2.22181916,0.01886667,79,10.5877552,1907.75,5.37031221,43.13725662,344,0.14503765
Sat Aug 10 12:31:47 GMT+05:30 2019,10-Aug-2019 12:31:46.636,73.07096979839113,19.055193505745784,9.552044,7.6708727,-61.06143156345934,185.08241,0.30645782,7.24006605,5.7843914,0.01648224,79,10.5877552,1905.25,5.53488016,43.13725662,345,-0.29007626
Sat Aug 10 12:31:47 GMT+05:30 2019,10-Aug-2019 12:31:47.133,73.07096979839113,19.055193505745784,9.552044,7.6708727,-61.06143156345934,185.08241,3.40934324,3.94564438,7.35498762,0.02040726,80,10.5877552,1945,5.544312,41.96078491,345,0
Sat Aug 10 12:31:48 GMT+05:30 2019,10-Aug-2019 12:31:47.572,73.07095739174005,19.0551046101269,9.975337,6.112675,-61.0176741508767,187.24232,-1.49398184,6.12915611,8.08282471,0.06419069,80,10.5877552,2007,6.00701857,27.45098114,346,-1.01526451
Sat Aug 10 12:31:48 GMT+05:30 2019,10-Aug-2019 12:31:47.920,73.07095739174005,19.0551046101269,9.975337,6.112675,-61.0176741508767,187.24232,-0.38307226,7.69975281,4.44363832,-0.07394087,80,10.5877552,1978.75,9.40210438,22.35294151,346,-4.49617004
Sat Aug 10 12:31:48 GMT+05:30 2019,10-Aug-2019 12:31:48.267,73.07095739174005,19.0551046101269,9.975337,6.112675,-61.0176741508767,187.24232,-0.49799395,7.77636719,5.32470465,-0.01893932,80,10.5877552,1988.75,9.76892853,25.49019623,346,-4.64120817
Sat Aug 10 12:31:49 GMT+05:30 2019,10-Aug-2019 12:31:48.745,73.07094410281087,19.05501353618987,10.10964,6.416874,-60.814769360236824,187.85179,-0.2681506,7.92959595,5.05655384,0.02064775,80,10.5877552,1989.25,7.81396294,29.01960754,347,-3.19083071
Sat Aug 10 12:31:49 GMT+05:30 2019,10-Aug-2019 12:31:49.173,73.07094410281087,19.05501353618987,10.10964,6.416874,-60.814769360236824,187.85179,-0.45968673,8.50420475,4.29040956,0.00442321,80,10.5877552,1919,7.66176844,29.41176414,347,-3.04579258
Sat Aug 10 12:31:50 GMT+05:30 2019,10-Aug-2019 12:31:49.521,73.07093237660334,19.054923931623314,10.142915,6.6210113,-60.95445462875068,188.3312,-0.5363012,8.15943909,5.13316822,-0.00695777,80,10.5877552,1983,7.17562103,35.29411697,347,-2.46564198
Sat Aug 10 12:31:50 GMT+05:30 2019,10-Aug-2019 12:31:49.854,73.07093237660334,19.054923931623314,10.142915,6.6210113,-60.95445462875068,188.3312,-0.5363012,7.46990919,5.01824665,0.02830672,80,10.5877552,2008.5,6.2720294,35.68627548,348,-1.59541512
Sat Aug 10 12:31:51 GMT+05:30 2019,10-Aug-2019 12:31:50.413,73.07092184268107,19.054835630452907,10.233489,6.6475043,-61.31668879184872,188.08138,-0.03830723,8.1211319,5.82269859,0.03764433,80,10.5877552,1951.25,6.26338816,33.33333206,348,-1.45037746
Sat Aug 10 12:31:51 GMT+05:30 2019,10-Aug-2019 12:31:50.892,73.07092184268107,19.054835630452907,10.233489,6.6475043,-61.31668879184872,188.08138,-0.9576807,7.81467438,6.16746378,-0.01623186,80,10.5877552,2001,7.52168322,25.88235283,349,-2.75571728
Sat Aug 10 12:31:51 GMT+05:30 2019,10-Aug-2019 12:31:51.307,73.07092184268107,19.054835630452907,10.233489,6.6475043,-61.31668879184872,188.08138,-0.80445176,8.23605347,5.7843914,-0.01343108,80,10.5877552,1948.25,8.80160999,33.33333206,349,-4.06105709
Sat Aug 10 12:31:52 GMT+05:30 2019,10-Aug-2019 12:31:51.715,73.0709094249231,19.054745572192747,10.196811,6.7898717,-61.63323814235628,188.23854,-0.38307226,8.04451752,4.94163227,0.04071487,80,10.5877552,2001.5,6.66879272,36.07843018,350,-1.74045277
Sat Aug 10 12:31:52 GMT+05:30 2019,10-Aug-2019 12:31:52.262,73.0709094249231,19.054745572192747,10.196811,6.7898717,-61.63323814235628,188.23854,-0.30645782,8.1211319,5.13316822,0.01464742,80,10.5877552,1995.5,6.18708611,33.72549057,350,-1.30533981
Sat Aug 10 12:31:53 GMT+05:30 2019,10-Aug-2019 12:31:52.754,73.07089773811074,19.054656115126967,10.181953,7.225766,-61.986864228732884,187.89009,-1.30244577,7.85298157,9.80665016,0.08392678,80,10.5877552,2008.5,6.8476572,29.80392075,351,-2.17556667
